,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
808,the brain,433,0,,
809,the left,4590,0,,
810,George Floyd,1832,0,,
811,at a,18901,0,,
812,is one,4978,0,,
813,the spread of,4921,0,,
814,to the coronavirus,4076,0,,
815,the Lebanese,1211,0,,
816,The New York,3355,0,,
817,the party,4336,0,,
818,hit by,4888,0,,
819,on Tuesday,7505,0,,
820,you need to,861,0,,
821,you do not,210,0,,
822,between Israel and,2054,0,,
823,with a,27991,0,,
824,on the,99121,0,,
825,at any,1120,0,,
826,and I,11324,0,,
827,the Trump administration,6763,0,,
828,on Friday,6324,0,,
829,on Monday,5960,0,,
830,permission from,309,0,,
831,here because,249,0,,
832,The Associated Press,1234,0,,
833,the authors,722,0,,
834,to help,8915,0,,
835,the address,140,0,,
836,email from,148,0,,
837,the Labour Party,674,0,,
838,was a,25555,0,,
839,about the,27145,0,,
840,form and may,642,0,,
841,may be updated,642,0,,
842,final form and,642,0,,
843,be held in,3125,0,,
844,to any,2098,0,,
845,the coronavirus pandemic,2422,0,,
846,alerts and,682,0,,
847,the link,226,0,,
848,the companys,1390,0,,
849,in the US,3614,0,,
850,you need,1413,0,,
851,the Nobel,437,0,,
852,its final form,650,0,,
853,as well,17013,0,,
854,the Syrian,4206,0,,
855,stories that matter,671,0,,
856,the Americans,1320,0,,
857,clash,4670,0,,
858,on the coronavirus,319,0,,
859,dinosaurs,1216,0,,
860,signing up you,123,0,,
861,be rescheduled,1960,0,,
862,and begin,177,0,,
863,also suspended,1983,0,,
864,the confirmation,144,0,,
865,i i i,1011,0,,
866,on March with,1968,0,,
867,to our,3783,0,,
868,up as,815,0,,
869,the first race,1951,0,,
870,you dont get,122,0,,
871,the work of,765,0,,
872,also been hit,1951,0,,
873,title fight between,1976,0,,
874,get the,2958,0,,
875,the outbreak,5630,0,,
876,reporting on,651,0,,
877,postponed and,1968,0,,
878,You know,4003,0,,
879,is that,14605,0,,
880,football in,1972,0,,
881,be in its,668,0,,
882,been rescheduled,1957,0,,
883,which was due,1959,0,,
884,was called off,1963,0,,
885,the competitions,1961,0,,
886,demonstration,2004,0,,
887,By signing up,124,0,,
888,The start of,1965,0,,
889,postponed by,2006,0,,
890,delayed until,1984,0,,
891,On March the,3093,0,,
892,This is,19374,0,,
893,scheduled for April,1984,0,,
894,in its final,677,0,,
895,Israel and the,3464,0,,
896,with permission from,181,0,,
897,in Paris,1849,0,,
898,the Tokyo Olympics,1985,0,,
899,did not,16574,0,,
900,In Spain,1994,0,,
901,suspended until April,2030,0,,
902,announced that all,1973,0,,
903,with Italy and,1962,0,,
904,place behind,1982,0,,
905,if you do,145,0,,
906,that we,12585,0,,
907,due to start,1989,0,,
908,views of,737,0,,
909,the war,7433,0,,
910,created on,523,0,,
911,of its,14699,0,,
912,deadline by,505,0,,
913,as a,53512,0,,
914,the first time,11644,0,,
915,has been cancelled,1963,0,,
916,the Olympic Games,2002,0,,
917,as one,2199,0,,
918,not wish to,117,0,,
919,as the,34661,0,,
920,in Iraq,6873,0,,
921,postpone,3193,0,,
922,number of,14850,0,,
923,into isolation,2015,0,,
924,this is,12924,0,,
925,This text,502,0,,
926,our website,547,0,,
927,Get our,607,0,,
928,officers,5983,0,,
929,a large,3639,0,,
930,take,41248,0,,
931,a protest against,868,0,,
932,until October,1983,0,,
933,held on March,1959,0,,
934,the President,3597,0,,
935,the IOC,1993,0,,
936,The Japanese,2032,0,,
937,work of,1201,0,,
938,of discrimination,296,0,,
939,was scheduled,3230,0,,
940,but that has,1978,0,,
941,Manchester City,2174,0,,
942,Manchester United,2096,0,,
943,All rights reserved,518,0,,
944,United States and,8927,0,,
945,the work,1625,0,,
946,by the virus,3210,0,,
947,to do,20913,0,,
948,reporting on the,274,0,,
949,does not,9619,0,,
950,as scheduled,2004,0,,
951,in England,3421,0,,
952,start,17771,0,,
953,and Tokyo,1977,0,,
954,a rush,747,0,,
955,the online,442,0,,
956,further information,556,0,,
957,of his,20800,0,,
958,article is republished,110,0,,
959,it does not,805,0,,
960,in a statement,5068,0,,
961,to a,36657,0,,
962,that can,3740,0,,
963,in Gaza,4945,0,,
964,in this,13088,0,,
965,between the,9500,0,,
966,own and do,253,0,,
967,spread of the,2705,0,,
968,of the Japanese,1998,0,,
969,International Olympic Committee,2000,0,,
970,contractor and,568,0,,
971,that it,16184,0,,
972,is not,23838,0,,
973,the topic,419,0,,
974,being postponed,1960,0,,
975,a precautionary,2053,0,,
976,the occupied,3114,0,,
977,from the,59480,0,,
978,to know,3887,0,,
979,need to,11998,0,,
980,have to,17670,0,,
981,own and,528,0,,
982,inception in,1983,0,,
983,wearing,5622,0,,
984,against police brutality,710,0,,
985,to July,2013,0,,
986,the talks,457,0,,
987,the coronavirus outbreak,4252,0,,
988,according to the,5983,0,,
989,have cancelled,1967,0,,
990,the working,532,0,,
991,delivered to your,575,0,,
992,cancelled and,1986,0,,
993,tournament in,2052,0,,
994,developed with,530,0,,
995,delayed,4979,0,,
996,the country,20669,0,,
997,March that,3201,0,,
998,do not necessarily,328,0,,
999,the Games,2031,0,,
